"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Samstag 31. März 2018 11:23 AM GMT+1","","Studientrend; Wie wär's mit Pferdeflüsterer oder Kulturjournalismus?","","WELT ONLINE (Deutsch)","","",
"","Samstag 31. März 2018 11:23 AM GMT+1","","Studientrend; Wie wär's mit Pferdeflüsterer oder Kulturjournalismus?","","WELT ONLINE (Deutsch)","","",
"","Samstag 31. März 2018 9:11 AM GMT+1","","Untersteller will mehr Solarstrom im Südwesten produzieren","","WELT ONLINE (Deutsch)","","",
"","Samstag 31. März 2018 9:11 AM GMT+1","","Untersteller will mehr Solarstrom im Südwesten produzieren","","WELT ONLINE (Deutsch)","","",
"","Freitag 30. März 2018 1:30 AM GMT+1","","Ostermärsche in Hessen: Abrüsten statt aufrüsten","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 28. März 2018 1:43 PM GMT+1","","Minister Pschierer erwartet Vollbeschäftigung bis 2020","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 28. März 2018 1:43 PM GMT+1","","Minister Pschierer erwartet Vollbeschäftigung bis 2020","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 28. März 2018 1:31 PM GMT+1","","PNE Wind: Sind trotz Umsatz- und Gewinneinbruch auf Kurs","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 28. März 2018 1:31 PM GMT+1","","PNE Wind: Sind trotz Umsatz- und Gewinneinbruch auf Kurs","","WELT ONLINE (Deutsch)","","",
"","Dienstag 27. März 2018 5:52 PM GMT+1","","Altmaier will breiten Konsens bei Kohleausstieg","","WELT ONLINE (Deutsch)","","",
"","Dienstag 27. März 2018 5:52 PM GMT+1","","Altmaier will breiten Konsens bei Kohleausstieg","","WELT ONLINE (Deutsch)","","",
"","Dienstag 27. März 2018 11:44 AM GMT+1","","Enercon-Zulieferer in Emden schließt: 82 Jobs betroffen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 27. März 2018 11:44 AM GMT+1","","Enercon-Zulieferer in Emden schließt: 82 Jobs betroffen","","WELT ONLINE (Deutsch)","","",
"","Montag 26. März 2018 1:34 PM GMT+1","","Laschet lässt bei Thema Tihange nicht locker","","WELT ONLINE (Deutsch)","","",
"","Montag 26. März 2018 1:34 PM GMT+1","","Laschet lässt bei Thema Tihange nicht locker","","WELT ONLINE (Deutsch)","","",
"","Montag 26. März 2018 7:25 AM GMT+1","","Bayern bei Bioenergie vorne: Aber kaum noch neue Anlagen","","WELT ONLINE (Deutsch)","","",
"","Montag 26. März 2018 7:25 AM GMT+1","","Bayern bei Bioenergie vorne: Aber kaum noch neue Anlagen","","WELT ONLINE (Deutsch)","","",
"","Sonntag 25. März 2018 5:21 PM GMT+1","","Stromtrassen-Kritiker fordern gemeinsam Ausbaustopp","","WELT ONLINE (Deutsch)","","",
"","Sonntag 25. März 2018 5:21 PM GMT+1","","Stromtrassen-Kritiker fordern gemeinsam Ausbaustopp","","WELT ONLINE (Deutsch)","","",
"","Sonntag 25. März 2018 10:01 AM GMT+1","","Deutlicher Ausbau der Photovoltaik in Hessen","","WELT ONLINE (Deutsch)","","",
"","Sonntag 25. März 2018 10:01 AM GMT+1","","Deutlicher Ausbau der Photovoltaik in Hessen","","WELT ONLINE (Deutsch)","","",
"","Sonntag 25. März 2018 9:54 AM GMT+1","","Stromversorger nutzt ausgediente E-Auto-Batterien","","WELT ONLINE (Deutsch)","","",
"","Sonntag 25. März 2018 9:54 AM GMT+1","","Stromversorger nutzt ausgediente E-Auto-Batterien","","WELT ONLINE (Deutsch)","","",
"","Samstag 24. März 2018 1:11 PM GMT+1","","SSW beschließt Leitlinien zur Kommunalwahl","","WELT ONLINE (Deutsch)","","",
"","Samstag 24. März 2018 1:11 PM GMT+1","","SSW beschließt Leitlinien zur Kommunalwahl","","WELT ONLINE (Deutsch)","","",
"","Samstag 24. März 2018 12:31 PM GMT+1","","Mehr E-Roller: Stuttgarter Oberbürgermeister eröffnet Saison","","WELT ONLINE (Deutsch)","","",
"","Samstag 24. März 2018 12:31 PM GMT+1","","Mehr E-Roller: Stuttgarter Oberbürgermeister eröffnet Saison","","WELT ONLINE (Deutsch)","","",
"","Freitag 23. März 2018 5:53 PM GMT+1","","50 Hertz; Hat Berlin Chinas Einstieg ins deutsche Stromnetz abgeblockt?","","WELT ONLINE (Deutsch)","","",
"","Freitag 23. März 2018 5:53 PM GMT+1","","50 Hertz; Hat Berlin Chinas Einstieg ins deutsche Stromnetz abgeblockt?","","WELT ONLINE (Deutsch)","","",
"","Freitag 23. März 2018 3:26 PM GMT+1","","Chinesen können nicht ins deutsche Stromnetz einsteigen","","WELT ONLINE (Deutsch)","","",
"","Freitag 23. März 2018 3:26 PM GMT+1","","Chinesen können nicht ins deutsche Stromnetz einsteigen","","WELT ONLINE (Deutsch)","","",
"","Freitag 23. März 2018 1:02 PM GMT+1","","Lars Klingbeil; Der SPD-General stellt sich eine fast unmögliche Aufgabe","","WELT ONLINE (Deutsch)","","",
"","Freitag 23. März 2018 1:02 PM GMT+1","","Lars Klingbeil; Der SPD-General stellt sich eine fast unmögliche Aufgabe","","WELT ONLINE (Deutsch)","","",
"","Freitag 23. März 2018 11:28 AM GMT+1","","CO2-Werte; Ausgerechnet Trumps Amerika hat die weltweit beste Klimabilanz","","WELT ONLINE (Deutsch)","","",
"","Freitag 23. März 2018 11:28 AM GMT+1","","CO2-Werte; Ausgerechnet Trumps Amerika hat die weltweit beste Klimabilanz","","WELT ONLINE (Deutsch)","","",
"","Freitag 23. März 2018 6:20 AM GMT+1","","Eon schließt Preiserhöhungen durch Innogy-Übernahme aus","","WELT ONLINE (Deutsch)","","",
"","Freitag 23. März 2018 6:20 AM GMT+1","","Eon schließt Preiserhöhungen durch Innogy-Übernahme aus","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 22. März 2018 7:00 PM GMT+1","","Energiewende; Verbraucher müssen mehr für Stromnetze zahlen","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 22. März 2018 7:00 PM GMT+1","","Energiewende; Verbraucher müssen mehr für Stromnetze zahlen","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 22. März 2018 5:54 PM GMT+1","","CO2-Werte; Ausgerechnet Trump hat die weltweit beste Klimabilanz","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 22. März 2018 5:54 PM GMT+1","","CO2-Werte; Ausgerechnet Trump hat die weltweit beste Klimabilanz","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 22. März 2018 5:54 PM GMT+1","","CO2-Werte; Ausgerechnet Trump hat die weltweit beste Klimabilanz","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 22. März 2018 1:05 PM GMT+1","","Widerstand gegen Suedlink: Treffen von Stromtrassen-Gegnern","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 22. März 2018 1:05 PM GMT+1","","Widerstand gegen Suedlink: Treffen von Stromtrassen-Gegnern","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 22. März 2018 12:13 PM GMT+1","","Energiekonzern EnBW: Ergebniswende mit Milliardenüberschuss","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 22. März 2018 12:13 PM GMT+1","","Energiekonzern EnBW: Ergebniswende mit Milliardenüberschuss","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 22. März 2018 11:23 AM GMT+1","","Wissenschaftsstandort Hamburg; Förderbank finanziert Wissenschafts-Start-ups","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 22. März 2018 11:23 AM GMT+1","","Wissenschaftsstandort Hamburg; Förderbank finanziert Wissenschafts-Start-ups","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 22. März 2018 11:23 AM GMT+1","","Wissenschaftsstandort Hamburg; Förderbank finanziert Wissenschafts-Start-ups","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 22. März 2018 11:23 AM GMT+1","","Wissenschaftsstandort Hamburg; Förderbank finanziert Wissenschafts-Start-ups","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 21. März 2018 6:31 PM GMT+1","","Schwarz-grüne Pläne zur Landesentwicklung stoßen auf Kritik","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 21. März 2018 6:31 PM GMT+1","","Schwarz-grüne Pläne zur Landesentwicklung stoßen auf Kritik","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 21. März 2018 5:19 PM GMT+1","","Thomas Löffelholz; Mit Argumenten die Welt verändern","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 21. März 2018 5:19 PM GMT+1","","Thomas Löffelholz; Mit Argumenten die Welt verändern","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 21. März 2018 10:16 AM GMT+1","","Polizei fahndet nach Tätern; Teilnehmer der "Merkel muss weg"-Kundgebung schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 21. März 2018 10:16 AM GMT+1","","Polizei fahndet nach Tätern; Teilnehmer der "Merkel muss weg"-Kundgebung schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 21. März 2018 9:11 AM GMT+1","","Brennelementefabrik beliefert weiter Kraftwerk in Belgien","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 21. März 2018 9:11 AM GMT+1","","Brennelementefabrik beliefert weiter Kraftwerk in Belgien","","WELT ONLINE (Deutsch)","","",
"","Dienstag 20. März 2018 5:24 PM GMT+1","","Klimaprimus der Kompaktklasse; CO2-Bilanz des E-Autos","","WELT ONLINE (Deutsch)","","",
"","Dienstag 20. März 2018 5:24 PM GMT+1","","Klimaprimus der Kompaktklasse; CO2-Bilanz des E-Autos","","WELT ONLINE (Deutsch)","","",
"","Dienstag 20. März 2018 4:21 PM GMT+1","","Bundesregierung: Vorerst keine Einmischung bei Innogy-Jobs","","WELT ONLINE (Deutsch)","","",
"","Dienstag 20. März 2018 4:21 PM GMT+1","","Bundesregierung: Vorerst keine Einmischung bei Innogy-Jobs","","WELT ONLINE (Deutsch)","","",
"","Dienstag 20. März 2018 1:14 PM GMT+1","","Finanzaufsicht; Bayern soll sparen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 20. März 2018 1:14 PM GMT+1","","Finanzaufsicht; Bayern soll sparen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 20. März 2018 10:00 AM GMT+1","","Klimaschutz-Studie; Das peinliche Zeugnis für die deutsche Energiewende","","WELT ONLINE (Deutsch)","","",
"","Dienstag 20. März 2018 10:00 AM GMT+1","","Klimaschutz-Studie; Das peinliche Zeugnis für die deutsche Energiewende","","WELT ONLINE (Deutsch)","","",
"","Montag 19. März 2018 5:32 PM GMT+1","","Tagung: Neue Geschäftsfelder für Windenergiebranche","","WELT ONLINE (Deutsch)","","",
"","Montag 19. März 2018 5:32 PM GMT+1","","Tagung: Neue Geschäftsfelder für Windenergiebranche","","WELT ONLINE (Deutsch)","","",
"","Montag 19. März 2018 5:08 PM GMT+1","","Strombilanz; NRW hinkt beim Ausbau erneuerbarer Energien hinterher","","WELT ONLINE (Deutsch)","","",
"","Montag 19. März 2018 5:08 PM GMT+1","","Strombilanz; NRW hinkt beim Ausbau erneuerbarer Energien hinterher","","WELT ONLINE (Deutsch)","","",
"","Montag 19. März 2018 11:31 AM GMT+1","","Rekord bei Bau von Windanlagen in NRW","","WELT ONLINE (Deutsch)","","",
"","Montag 19. März 2018 11:31 AM GMT+1","","Rekord bei Bau von Windanlagen in NRW","","WELT ONLINE (Deutsch)","","",
"","Sonntag 18. März 2018 6:24 PM GMT+1","","Welthandel; Trumps Strafzölle ergeben strategisch absolut Sinn","","WELT ONLINE (Deutsch)","","",
"","Sonntag 18. März 2018 6:24 PM GMT+1","","Welthandel; Trumps Strafzölle ergeben strategisch absolut Sinn","","WELT ONLINE (Deutsch)","","",
"","Samstag 17. März 2018 8:40 AM GMT+1","","Ausstieg aus fossilen Brennstoffen: Ruf nach konkreten Daten","","WELT ONLINE (Deutsch)","","",
"","Samstag 17. März 2018 8:40 AM GMT+1","","Ausstieg aus fossilen Brennstoffen: Ruf nach konkreten Daten","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 15. März 2018 5:02 PM GMT+1","","Linke Bewegung; Die 68er sind doch längst zahm geworden","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 15. März 2018 5:02 PM GMT+1","","Linke Bewegung; Die 68er sind doch längst zahm geworden","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 15. März 2018 1:04 PM GMT+1","","Windanlagenbauer Senvion leidet unter Preiskampf","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 15. März 2018 1:04 PM GMT+1","","Windanlagenbauer Senvion leidet unter Preiskampf","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 15. März 2018 12:14 PM GMT+1","","Messe "New Energy 2018" in Husum eröffnet","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 15. März 2018 12:14 PM GMT+1","","Messe "New Energy 2018" in Husum eröffnet","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 15. März 2018 6:12 AM GMT+1","","Messe "New Energy 2018" startet in Husum","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 15. März 2018 6:12 AM GMT+1","","Messe "New Energy 2018" startet in Husum","","WELT ONLINE (Deutsch)","","",
