"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Freitag 4. Mai 2018 1:09 PM GMT+1","","Ellwangen und Freising; Demokratie lebt von der Gesetzestreue aller","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 1:09 PM GMT+1","","Ellwangen; Togoer nach Großrazzia jetzt in Abschiebehaft","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 1:08 PM GMT+1","","Flüchtling in Ellwangen; Togo gehört zu den ärmsten Staaten der Welt","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 1:08 PM GMT+1","","Flüchtling in Ellwangen; Togo gehört zu den ärmsten Staaten der Welt","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 1:06 PM GMT+1","","Ellwangen; Polizei fasst gesuchten Togoer - Flüchtlinge springen aus dem Fenster","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 1:06 PM GMT+1","","Polizei über Ellwangen; Razzia in Asylunterkunft - "18 Beteiligte hatten hohe Geldbeträge dabei"","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 1:06 PM GMT+1","","Ellwangen; Polizei fasst gesuchten Togoer - Flüchtlinge springen aus dem Fenster","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 1:06 PM GMT+1","","Polizei über Ellwangen; Razzia in Asylunterkunft - "18 Beteiligte hatten hohe Geldbeträge dabei"","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 11:51 AM GMT+1","","23-jähriger Asylsuchender aus Togo sitzt in Abschiebehaft","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 11:51 AM GMT+1","","23-jähriger Asylsuchender aus Togo sitzt in Abschiebehaft","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 10:41 AM GMT+1","","Weitere Demonstrationen in Kandel geplant","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 10:41 AM GMT+1","","Weitere Demonstrationen in Kandel geplant","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 10:02 AM GMT+1","","Mord auf Amrum: keine Erklärung für Mandanten abgegeben","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 10:02 AM GMT+1","","Mord auf Amrum: keine Erklärung für Mandanten abgegeben","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 7:32 AM GMT+1","","Ellwangen; CDU-Innenexperte fordert Konsequenzen für Asylverfahren der "Widerständler"","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 7:32 AM GMT+1","","Ellwangen; CDU-Innenexperte fordert Konsequenzen für Asylverfahren der "Widerständler"","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 6:32 AM GMT+1","",""Passiver Puffer" für Erstaufnahme von Flüchtlingen","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 6:32 AM GMT+1","",""Passiver Puffer" für Erstaufnahme von Flüchtlingen","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 6:20 AM GMT+1","","Acht Verletzte bei Brand in Flüchtlingsunterkunft","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 6:20 AM GMT+1","","Acht Verletzte bei Brand in Flüchtlingsunterkunft","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:20 AM GMT+1","","Asylpfarrer: Der Staat muss handlungsfähig bleiben","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 5:20 AM GMT+1","","Asylpfarrer: Der Staat muss handlungsfähig bleiben","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 12:00 AM GMT+1","","BAMF-Skandal; Spitze des Ministeriums wusste doch früher von Korruptionsvorwürfen","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 3. Mai 2018 11:14 PM GMT+1","","Ellwangen; Togoer nach Großrazzia jetzt in Abschiebehaft","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 3. Mai 2018 11:11 PM GMT+1","","Innenminister Strobl; "Wir können nicht zu jeder Abschiebung Hundertschaft schicken"","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 3. Mai 2018 9:43 PM GMT+1","","EU-Regeln; So will Ungarn die Aufnahme von Flüchtlingen verhindern","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 3. Mai 2018 9:43 PM GMT+1","","EU-Regeln; So will Ungarn die Aufnahme von Flüchtlingen verhindern","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 3. Mai 2018 9:03 PM GMT+1","","Flüchtling in Ellwangen; Togo gehört zu den ärmsten Staaten der Welt","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 3. Mai 2018 9:03 PM GMT+1","","Flüchtling in Ellwangen; Togo gehört zu den ärmsten Staaten der Welt","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 3. Mai 2018 9:01 PM GMT+1","","Ellwangen; Togoer nach Großrazzia jetzt in Abschiebehaft","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 3. Mai 2018 8:38 PM GMT+1","","Ellwangen und Freising; Demokratie lebt von der Gesetzestreue aller","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 3. Mai 2018 8:38 PM GMT+1","","Ellwangen und Freising; Demokratie lebt von der Gesetzestreue aller","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 3. Mai 2018 8:31 PM GMT+1","","Togoer nach Großrazzia in in Abschiebehaft","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 3. Mai 2018 8:31 PM GMT+1","","Togoer nach Großrazzia in in Abschiebehaft","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 3. Mai 2018 7:58 PM GMT+1","","Innenminister Strobl; "Wir können nicht zu jeder Abschiebung Hundertschaft schicken"","","WELT ONLINE (Deutsch)","","",
