"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Samstag 14. April 2018 11:01 AM GMT+1","","Erneut Weltkriegs-Bombe in Frankfurt entschärft","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 11:01 AM GMT+1","","Erneut Weltkriegs-Bombe in Frankfurt entschärft","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 10:41 AM GMT+1","","Tod im Weinberg: Traktor erdrückt Mann","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 10:41 AM GMT+1","","Tod im Weinberg: Traktor erdrückt Mann","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 10:32 AM GMT+1","","Bisher 39 vertrauliche Geburten in Bayern","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 10:32 AM GMT+1","","Bisher 39 vertrauliche Geburten in Bayern","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 10:07 AM GMT+1","","Grippesaison diesmal besonders heftig: Ende in Sicht","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 10:07 AM GMT+1","","Grippesaison diesmal besonders heftig: Ende in Sicht","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 10:01 AM GMT+1","","Ansteckende Hautkrankheit: Zahl der Krätze-Fälle nimmt zu","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 10:01 AM GMT+1","","Ansteckende Hautkrankheit: Zahl der Krätze-Fälle nimmt zu","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 9:42 AM GMT+1","","Führungswechsel bei Opferhilfeorganisation Weisser Ring","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 9:42 AM GMT+1","","Führungswechsel bei Opferhilfeorganisation Weisser Ring","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 9:50 PM GMT+1","","Mann soll Ehefrau im Schlaf mit Messer verletzt haben","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 9:50 PM GMT+1","","Mann soll Ehefrau im Schlaf mit Messer verletzt haben","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 9:01 PM GMT+1","","73-Jähriger wird im Wald von seinem Trecker überrollt","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 9:01 PM GMT+1","","73-Jähriger wird im Wald von seinem Trecker überrollt","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 7:41 PM GMT+1","","Senior stirbt nach Frontalzusammenstoß","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 7:41 PM GMT+1","","Senior stirbt nach Frontalzusammenstoß","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 6:32 PM GMT+1","","Durchsuchung wegen Betrugsverdachts bei Barmer-Krankenkasse","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 6:32 PM GMT+1","","Durchsuchung wegen Betrugsverdachts bei Barmer-Krankenkasse","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:59 PM GMT+1","","Vor Bäckerei in Fulda; Polizei erschießt 19-Jährigen - er randalierte mit Steinen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:59 PM GMT+1","","Vor Bäckerei in Fulda; Polizei erschießt 19-Jährigen - er randalierte mit Steinen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:53 PM GMT+1","","Traditionspflege; Mit Heino ins Minenfeld der neuen Heimatpolitik","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:53 PM GMT+1","","Traditionspflege; Mit Heino ins Minenfeld der neuen Heimatpolitik","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:34 PM GMT+1","","Tatverdächtiger stellt sich nach Messerattacke auf Jungen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:34 PM GMT+1","","Tatverdächtiger stellt sich nach Messerattacke auf Jungen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:28 PM GMT+1","","Messerattacke am Jungfernstieg; Vater ersticht Ex-Frau und Kind offenbar aus "Wut und Rache"","","WELT ONLINE (Deutsch)","","",
