"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Mittwoch 18. April 2018 ","","China öffnet sich für die Autobauer; Peking hebt den Zwang auf, sich vor Ort regionale Partner zu suchen. Das soll die Position im Handelskonflikt mit den USA verbessern und die eigenen Autobauer unter Druck setzen","","Die Welt","","",
"","Dienstag 17. April 2018 ","","Macht Apple das iPhone X noch teurer?; Zwar kostet das Topmodell der Kalifornier bereits deutlich mehr als 1100 Euro. Doch die Erfahrung lehrt: Da könnte noch was gehen","","Die Welt","","",
"","Montag 16. April 2018 ","","China baut sich die größte Containerflotte der Welt; Exportweltmeister Deutschland spielt als Betreiber von Frachtern weltweit auf einmal nur noch die zweite Geige","","Die Welt","","",
"","Montag 16. April 2018 ","","Börsianer hoffen auf gute Firmenbilanzen; In dieser Woche öffnen vor allem US-Unternehmer ihre Bücher. Das Thema Handelskrieg könnte in den Hintergrund rücken","","Die Welt","","",
"","Montag 16. April 2018 ","","Londons neuer Traum vom Empire; Diese Woche findet der Commonwealth-Gipfel in der britischen Hauptstadt statt. Nach dem Brexit sollen die ehemaligen Kolonien dem Land zu einer goldenen Zukunft verhelfen. Kann das klappen?","","Die Welt","","",
"","Montag 16. April 2018 ","","Das wahre Schlachtfeld liegt ganz woanders","","Die Welt","","",
"","15. April 2018 ","","Autoren dieser Ausgabe","","Welt am Sonntag","","",
"","15. April 2018 ","","Schwarz am Bau; Die Baubranche ist einer der wichtigsten Wirtschaftszweige - und so sehr von Schwarzarbeit betroffen wie kein anderer. Dahinter steht zunehmend organisierte Kriminalität, es geht um viele Milliarden, die dem Staat verloren gehen. Aber sogar auf Baustellen der öffentlichen Hand wird illegal gearbeitet.","","Welt am Sonntag","","",
"","15. April 2018 ","","Große Schnauze; Der Cadillac Escalade ist ein Wagen, wie er amerikanischer kaum sein könnte: Er macht Eindruck - auf den ersten Blick. Der Rapper Prinz Pi hat ihn für uns genauer unter die Lupe genommen","","Welt am Sonntag","","",
"","15. April 2018 ","","Baustellen-Mafia prellt den Staat um 28 Milliarden Euro im Jahr; Südeuropäische Netzwerke arbeiten hoch professionell - Aufsichtsbehörden sind unterbesetzt und überfordert. Gewerkschaft IG Bau sowie Politiker von FDP und Linke fordern mehr Zollermittler","","Welt am Sonntag","","",
"","15. April 2018 ","","Einer, den niemand aufhalten kann; Der Container ist das Symbol der Globalisierung, deren Geist stärker ist als jede Zollschranke. Kein weltweiter Handel ohne diese genormte Stahlbox. Das fasziniert Nando Sommerfeldt","","Welt am Sonntag","","",
"","Samstag 14. April 2018 ","","Raketen als alternatives Antriebskonzept; Vor 90 Jahren donnerte Fritz von Opel mit Tempo 238 über die Berliner Avus. Sein Rennwagen wurde von 24 Raketen angetrieben","","Die Welt","","",
"","Samstag 14. April 2018 ","","China wird bis zum Ende kämpfen","","Die Welt","","",
"","Samstag 14. April 2018 ","","Rauswurf aus dem Paradies; Seit Langem schaut Großbritannien bei Russlands Oligarchen nicht genau hin. Nach der Skripal-Affäre muss die Regierung handeln","","Die Welt","","",
"","Freitag 13. April 2018 ","",""Ecstasy und Kokain kommen frei Haus"; Viele Jugendliche konsumieren Drogen - und die Eltern sind ahnungslos. Den Stoff gibt es im Internet. Der Staat ist machtlos. Ein Gespräch über Sucht","","Die Welt","","",
"","Freitag 13. April 2018 ","","Deutschlands Manko im Handelskrieg; Hoher Industrieanteil wird zum Bumerang","","Die Welt","","",
"","Freitag 13. April 2018 ","","Wirtschaft Kompakt II; WTO: Wachsender Welthandel erwartet ++ Springer Nature: Wissenschaftsverlag vor Börsengang ++ Sulzer: Keine US-Sanktionen gegen Maschinenbauer ++ Puma: Sportausrüster erhöht Gewinnziel","","Die Welt","","",
"","Freitag 13. April 2018 ","","Risikofaktor Donald Trump; Hüter von Dollar und Euro warnen fast zeitgleich vor den Folgen des Handelskonflikts","","Die Welt","","",
"","Donnerstag 12. April 2018 ","","Auch Deutschland leidet unter Trumps Rache am Kreml; Neue US-Handelsbeschränkungen schwächen die deutsche Wirtschaft - sie hat intensive Beziehungen zu russischen Unternehmen","","Die Welt","","",
"","Donnerstag 12. April 2018 ","","Politik Kompakt; Fall Amri: Aktenfälschung: Verfahren eingestellt ++ Cottbus: Jugendarrest nach Messerangriff ++ NSU-Prozess: Neue Anträge verzögern Plädoyers ++ USA: Republikaner Ryan kündigt Rückzug an","","Die Welt","","",
"","Mittwoch 11. April 2018 ","","China gibt sich gegenüber Trump gefügig; Im Handelsstreit scheint das Land zu Zugeständnissen bereit. Von den angekündigten Verbesserungen würde vor allem BMW profitieren","","Die Welt","","",
"","Mittwoch 11. April 2018 ","","Chinas Handelsoffensive sorgt für gute Stimmung; Tarifstreit bei der Post beendet - Aktie steigt","","Die Welt","","",
"","Dienstag 10. April 2018 ","","Finanzen Kompakt; EZB: Neue Bargeld-Linie für Bankenrettungen ++ Währungssturz: Euro mehr als fünf türkische Lira wert ++ Japan: Investoren verkaufen US-Staatspapiere ++ China gegen USA: Yuan-Abwertung als Druckmittel","","Die Welt","","",
"","Dienstag 10. April 2018 ","","Deutschland leidet schon jetzt unter dem Handelsstreit; Der Konflikt zwischen den USA und China spitzt sich zu. Das kann für die deutschen Exporteure nicht ohne Folgen bleiben","","Die Welt","","",
"","Montag 9. April 2018 ","","Tablet der Kompromisse","","Die Welt","","",
"","Montag 9. April 2018 ","","Attacke durch die Hintertür; Nächste Runde im Handelsstreit: Die USA wollen ausländische Autobauer benachteiligen, um die eigene Industrie zu schützen. Doch dieses Mal setzt Donald Trump nicht auf Zölle","","Die Welt","","",
"","Montag 9. April 2018 ","","Anleger hoffen auf Gewöhnungseffekt; Die protektionistische Zollpolitik von US-Präsident Trump beherrscht die Märkte. Einige Analysten halten das für bloße Verhandlungstaktik","","Die Welt","","",
"","8. April 2018 ","",""Ich ziehe auch ohne Gewehr los"; Jede Woche begleitet die WELT AM SONNTAG einen Prominenten aus der Wirtschaft bei dem, was er nach der Arbeit am liebsten tut. Diesmal waren wir mit dem Chef des Haushaltswarenherstellers Wesco in seinem Jagdrevier. Ein Expertengespräch über Ziele","","Welt am Sonntag","","",
"","8. April 2018 ","","Neue Hoffnung für Gold-Anhänger","","Welt am Sonntag","","",
"","8. April 2018 ","","Texas liegt in NRW","","Welt am Sonntag","","",
"","8. April 2018 ","","Sechs Gründe für den Handelskrieg; Der von Donald Trump angezettelte Zollstreit zwischen den USA und China hat tiefer liegende Ursachen: Beide Länder kämpfen um die Vorherrschaft in der Welt","","Welt am Sonntag","","",
"","Samstag 7. April 2018 ","","Die Dummen im Handelskrieg könnten die Europäer sein; Auf Pekings Politik gezielter Nadelstiche reagiert Trump wie ein Bulldozer. Er verdoppelt seine Zollandrohungen. Doch nicht nur US-Sojabauer oder chinesische Fabrikarbeiter haben das Nachsehen / Von Jan Dams","","Die Welt","","",
"","Samstag 7. April 2018 ","","Handelskonflikt belastet deutschen Aktienmarkt; Dax schwach. Konjunkturabhängige Titel verlieren","","Die Welt","","",
"","Freitag 6. April 2018 ","","Wirtschaft Kompakt I; Stahlzölle: China beantragt WTO-Schlichtung ++ Frankreich: Bahnstreik trifft auch Güterverkehr ++ Maschinenbau: Trotz Handelsstreit starke Nachfrage ++ Azubis: "Mindestlohn nicht früher durchsetzbar"","","Die Welt","","",
"","Freitag 6. April 2018 ","","Merkel besucht Trump offenbar Ende April","","Die Welt","","",
"","Freitag 6. April 2018 ","","Wirtschaft Kompakt II; Spanien: HSBC-Hinweisgeber Falciani wieder frei ++ USA: Seit 2008 höchstes Handelsdefizit ++ Ikea: Innenstädte statt grüner Wiese ++ Nord Stream 2: Finnische Regierung genehmigt Pipeline ++ Pflege: Betreuende Angehörige zum Drittel Männer ++ Erneuerbare Energien: Fast die Hälfte der Investitionen in China","","Die Welt","","",
"","Freitag 6. April 2018 ","","Entspannungssignale zünden fulminantes Kursfeuerwerk; Sämtliche Indizes der Dax-Familie legen kräftig zu","","Die Welt","","",
"","Donnerstag 5. April 2018 ","","Brüssel will erst einmal prüfen","","Die Welt","","",
"","Donnerstag 5. April 2018 ","","Die USA und China gehen im Handelsstreit aufeinander los; Was bislang nach einer noch begrenzbaren Auseinandersetzung zweier großer Wirtschaftsnationen aussah, spitzt sich rasant zu. Vor allem die Strafzölle auf Sojabohnen treffen Trump-Wähler","","Die Welt","","",
"","Donnerstag 5. April 2018 ","","China eskaliert den Handelskrieg; Die USA und die Volksrepublik bekriegen sich mit Strafzöllen. Im Konflikt zwischen den beiden Ländern geht es um mehr als nur um Im- und Exporte. Es geht um die Frage, wer die Macht hat","","Die Welt","","",
"","Mittwoch 4. April 2018 ","","Dax schafft es hauchdünn über 12.000-Punkte-Marke; Aktien aus dem Halbleiterbereich unter Verkaufsdruck","","Die Welt","","",
"","Dienstag 3. April 2018 ","","Das Schlimmste verhindern","","Die Welt","","",
"","Dienstag 3. April 2018 ","","Schutzzölle: Chinas Vergeltung zielt direkt auf Donald Trump; Peking hat 128 vor allem landwirtschaftliche Produkte mit hohen Abgaben belegt. Schmerzlich für den US-Präsidenten: Sie werden vor allem in Regionen produziert, in denen seine Wählerschaft heimisch ist","","Die Welt","","",
"","Dienstag 3. April 2018 ","","Börsen steht launische Woche bevor; Kursschwankungen an den Finanzmärkten dürften anhalten. Handelskonflikt zwischen China und den USA steht im Fokus","","Die Welt","","",
"","1. April 2018 ","","Made in Germany bevorzugt; Uganda will den Import aus Industrienationen wie Deutschland stoppen, um die lokale Textilbranche zu schützen. Doch Hersteller und Händler in dem ostafrikanischen Land sind alles andere als begeistert","","Welt am Sonntag","","",
"","1. April 2018 ","","Eine Frage des Gewissens; Elektroautos scheinen grundsätzlich gut für die Umwelt. Doch die Berechnungen ihrer Öko-Bilanz sind sehr aufwendig - und teilweise sogar unmöglich","","Welt am Sonntag","","",
"","1. April 2018 ","","German Comeback; Volkswagen erlebt einen unerwarteten Aufschwung in den USA - mit neuen Modellen, die speziell auf amerikanische Kunden zugeschnitten sind","","Welt am Sonntag","","",
"","1. April 2018 ","",""Je höher wir steigen, desto tiefer der Abstieg"; Bernard Meyer, Chef der größten deutschen Werft, über Konkurrenz aus China, seine Nachfolge und die Gefühle beim Abschied von einem neuen Kreuzfahrtschiff","","Welt am Sonntag","","",
"","Donnerstag 29. März 2018 ","","Eine Frage des Gewissens; Elektroautos scheinen grundsätzlich gut für die Umwelt. Doch die Berechnungen ihrer Öko-Bilanz sind sehr aufwendig - und teilweise sogar unmöglich","","Die Welt","","",
"","Donnerstag 29. März 2018 ","","Spekulationen um Dax-Verlust; Angeblich wetten Hedgefonds gegen deutsche Aktien. Kurskorrekturen haben andere Ursachen","","Die Welt","","",
"","Donnerstag 29. März 2018 ","","Ein alter Mann. Und die ganz große Liebe; Er hieß Jan Loh, er hatte ein blaues Fahrrad und einen Stift mit dem er jeden malte. Jetzt ist er nicht mehr da","","Die Welt","","",
"","Donnerstag 29. März 2018 ","",""Gleichgültig, wie die internationalen Winde wehen"; Mit blumigen Worten festigen Xi und Kim in Peking die chinesisch-nordkoreanische Freundschaft. Eine Warnung Richtung Washington?","","Die Welt","","",
"","Mittwoch 28. März 2018 ","","AfD-Politiker erklärt China zum Vorbild; Entwicklungspolitik solle auf nationale Interessen achten","","Die Welt","","",
"","Mittwoch 28. März 2018 ","","Was zählt, ist die Einigkeit der EU; Eine Umfrage unter deutschen Führungskräften zeigt, dass die meisten keine Angst mehr vor der Eskalation des Konflikts mit den USA haben","","Die Welt","","",
"","Dienstag 27. März 2018 ","","Donald Trump kennt nur noch einen Gegner","","Die Welt","","",
"","Montag 26. März 2018 ","",""Ruhige Köpfe werden sich durchsetzen"; Der eskalierende Handelsstreit zwischen China und den USA beschäftigt eine Versammlung hoher Wirtschaftsrepräsentanten in Peking. Noch gibt es Hoffnung, dass sich das Schlimmste abwenden lässt","","Die Welt","","",
"","Montag 26. März 2018 ","","Der große Fehler in Donald Trumps Zoll-Formel; Stahl aus China vernichte US-Jobs, rechtfertigt der US-Präsident Strafabgaben. Den wahren Grund für den Stellenverlust verschweigt er","","Die Welt","","",
"","Montag 26. März 2018 ","","In der Karwoche müssen Anleger mit Verlusten rechnen; Die Eskalation des internationalen Handelsstreits bereitet Investoren Sorgen, auch die US-Geldpolitik belastet. Kaum Konjunkturdaten","","Die Welt","","",
"","25. März 2018 ","","Hat Trumps Chaos System?; Der US-Präsident agiert zunehmend unberechenbar, was Positionen und Personalentscheidungen angeht. Von autoritärer Rücksichtslosigkeit ist er fasziniert. Was nicht heißt, dass er politisch immer falsch liegt","","Welt am Sonntag","","",
"","25. März 2018 ","",""Niemand in der FDP findet Putin gut"; Parteichef Christian Lindner skizziert eine liberale Ostpolitik. Und er schlägt der Kanzlerin vor, von Nordkorea zu lernen","","Welt am Sonntag","","",
"","25. März 2018 ","","Alle gegen China; Die Europäer bleiben von US-Strafzöllen auf Stahl vorerst verschont, aber der Preis dafür ist hoch. Offenbar hat man sich auf einen Deal mit den USA eingelassen: Eine Allianz gegen Peking. Ökonomen warnen vor diesem Pakt","","Welt am Sonntag","","",
"","25. März 2018 ","",""Daten für bessere Gesundheit nutzen"; Beim Gesundheitskonzern Fresenius Medical Care ist Big Data längst ein Geschäftsmodell. Sogar die Wahrscheinlichkeit für einen Herzinfarkt lässt sich vorhersagen. Schwieriger ist die Prognose der Gesundheitspolitik - und des nächsten Tweets von Trump","","Welt am Sonntag","","",
"","Samstag 24. März 2018 ","","Stahlbosse weiter in Angst; Unternehmen fürchten durch US-Zölle Umleiteffekt zulasten Europas","","Die Welt","","",
"","Samstag 24. März 2018 ","","Chinas Einstieg ins deutsche Stromnetz abgeblockt; Belgischer Betreiber nutzt Vorkaufsrecht","","Die Welt","","",
"","Samstag 24. März 2018 ","","Frühlingsgefühle in Brüssel","","Die Welt","","",
"","Samstag 24. März 2018 ","","Trumps neuer Hardliner; Mit John Bolton als Sicherheitsberater droht die Außenpolitik der USA noch nationalistischer zu werden","","Die Welt","","",
