"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Mittwoch 2. Mai 2018 ","","Autokrat in Afrikas Vorzeigeland; Seit 32 Jahren regiert Präsident Yoweri Museveni in Uganda. Nun will er die letzte Hürde beseitigen, die seine Herrschaft auf Lebenszeit verhindert. Der Westen schweigt - er ist auf den Mann angewiesen","","Die Welt","","",
"","Mittwoch 2. Mai 2018 ","",""Wir leben im Glück. Das bedeutet Verantwortung"; Jetzt im Kino: Der Dokumentarfilm "Eldorado" folgt den Wegen der Flüchtlinge. Und Regisseur Markus Imhoof erinnert sich an die Giovanna seiner Kindheit","","Die Welt","","",
"","Mittwoch 2. Mai 2018 ","","Schleuser umgehen Österreich und bevorzugen Tschechien; Gerade hat die Bundesregierung die Kontrollen an der österreichischen Grenze verlängert. Verschärfungen beflügeln allerdings das Geschäft der Schlepper","","Die Welt","","",
"","Mittwoch 2. Mai 2018 ","","Das Gefeilsche um den EU-Etat geht zulasten Deutschlands; Wenn sich die Staaten nicht einigen, wie viel Geld die Gemeinschaft künftig wofür ausgibt, muss am Ende Kanzlerin Merkel die Verhandlungen leiten. Das kann teuer werden","","Die Welt","","",
"","Montag 30. April 2018 ","","Fleißige Flüchtlinge","","Die Welt","","",
"","Montag 30. April 2018 ","",""Leute wollen Wahrheit über Integration hören"; Grünen-Fraktionschefin Göring-Eckardt ist überzeugt: Eingliederung der Flüchtlinge kann gelingen. Nur dürften die Bürger "nicht länger an der Nase herumgeführt werden"","","Die Welt","","",
"","Montag 30. April 2018 ","","Die Angst vor der eingeschleppten Tuberkulose; Seit der Flüchtlingskrise gibt es wieder mehr Fälle in Deutschland. Gefährlich sind dabei Infektionen, gegen die Antibiotika nicht mehr helfen","","Die Welt","","",
"","Montag 30. April 2018 ","","Integrationskurse haben hohe Durchfallquoten; Nicht mal jeder Zweite besteht die Sprachprüfung","","Die Welt","","",
"","Montag 30. April 2018 ","","Der Staat darf sich nicht mit einer Religion identifizieren; Verstößt das Kreuz in bayerischen Behörden gegen das Grundgesetz? Eine kurze verfassungsrechtliche Prüfung.","","Die Welt","","",
"","Montag 30. April 2018 ","",""Du fühlst dich als Mittäter"; Norman Kramer liebt seinen Job als Flugbegleiter. Vor zwei Jahren kam eine Aufgabe dazu, die er sich nicht ausgesucht hat: Er begleitet Abschiebeflüge. Die Szenen verfolgen ihn bis in den Schlaf","","Die Welt","","",
